[2021-06-30 09:57:34,594] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 09:57:45,975] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20373
[2021-06-30 09:57:46,012] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 09:57:46,204] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 345
[2021-06-30 09:57:46,327] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 09:57:46,519] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 09:57:46,519] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 09:58:01,541] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20373
[2021-06-30 09:58:01,578] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 09:58:01,774] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 308
[2021-06-30 09:58:01,887] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 09:58:02,278] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 09:58:02,281] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 09:58:14,346] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 304 0
[2021-06-30 09:58:14,604] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 200 542194
[2021-06-30 09:58:32,258] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20373
[2021-06-30 09:58:32,286] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 09:58:32,498] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 284
[2021-06-30 09:58:32,600] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 09:58:32,989] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 09:58:32,990] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 09:58:39,191] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20373
[2021-06-30 09:58:39,217] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 09:58:39,427] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 309
[2021-06-30 09:58:39,523] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 09:58:39,597] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 09:58:39,598] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 09:59:33,703] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20373
[2021-06-30 09:59:33,742] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 09:59:33,935] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 309
[2021-06-30 09:59:34,052] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 09:59:34,172] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 09:59:34,174] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 10:00:03,394] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20373
[2021-06-30 10:00:03,432] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 10:00:03,619] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 309
[2021-06-30 10:00:03,738] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 10:00:03,808] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 10:00:03,809] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 10:00:53,417] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20373
[2021-06-30 10:00:53,459] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 10:00:53,643] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 311
[2021-06-30 10:00:53,766] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 10:00:53,824] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 10:00:53,825] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 10:02:10,317] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20210
[2021-06-30 10:02:10,360] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 10:02:10,552] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 382
[2021-06-30 10:02:10,677] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 10:02:10,896] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 10:02:10,896] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 10:02:25,515] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20210
[2021-06-30 10:02:25,575] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 10:02:25,740] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 371
[2021-06-30 10:02:25,884] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 10:02:25,984] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 10:02:25,985] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 10:03:01,096] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20450
[2021-06-30 10:03:01,135] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 10:03:01,314] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 360
[2021-06-30 10:03:01,453] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 10:03:01,550] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 10:03:01,551] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 10:04:45,835] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20529
[2021-06-30 10:04:45,863] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 10:04:46,069] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 360
[2021-06-30 10:04:46,187] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 10:04:46,388] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
